V1,V2,V3,V4,V5
T11,T15,T24,T26,T6
T2,T19,T22,T15,T27
T1,T6,T28,T25,T5
T30,T13,T4,T27,T6
T3,T27,T12,T5,T25
T1,T24,T13,T16,T25
T4,T16,T20,T24,T12
T8,T21,T9,T30,T2
T5,T12,T30,T2,T11
T9,T19,T27,T30,T14
T26,T19,T10,T11,T20
T19,T17,T25,T1,T2
T11,T30,T28,T22,T23
T26,T1,T21,T4,T7
T12,T24,T6,T8,T11
T28,T11,T5,T9,T15
T29,T4,T14,T17,T1
T17,T21,T4,T15,T5
T3,T23,T4,T12,T9
T19,T3,T6,T28,T24
T25,T13,T29,T10,T27
T10,T2,T13,T14,T5
T21,T27,T8,T11,T17
T3,T16,T6,T26,T5
T19,T14,T22,T28,T29
T1,T14,T19,T15,T17
T4,T3,T14,T21,T25
T1,T12,T28,T13,T29
T13,T25,T5,T30,T22
T13,T11,T27,T1,T6
T26,T22,T18,T15,T3
T21,T11,T26,T27,T18
T17,T11,T26,T27,T7
T7,T20,T5,T30,T2
T15,T12,T17,T13,T14
T24,T6,T15,T20,T16
T29,T20,T1,T9,T7
T30,T12,T23,T25,T17
T1,T11,T10,T28,T23
T27,T23,T4,T14,T24
T7,T23,T12,T24,T1
T2,T9,T15,T18,T1
T11,T7,T14,T10,T4
T19,T30,T13,T10,T28
T10,T14,T20,T1,T11
T2,T20,T8,T24,T1
T8,T1,T21,T5,T26
T7,T11,T25,T14,T16
T16,T25,T2,T14,T29
T8,T16,T17,T1,T24
T24,T30,T22,T18,T7
T16,T5,T22,T28,T24
T14,T24,T16,T30,T23
T15,T10,T18,T24,T2
T25,T20,T7,T12,T28
T4,T25,T23,T21,T22
T21,T12,T1,T6,T26
T8,T20,T23,T15,T13
T13,T23,T16,T27,T26
T8,T25,T18,T10,T11
T24,T23,T10,T3,T1
T24,T7,T1,T13,T14
T19,T29,T18,T20,T2
T24,T17,T30,T7,T21
T8,T26,T29,T25,T13
T15,T28,T18,T24,T23
T27,T17,T26,T14,T8
T20,T22,T9,T1,T19
T8,T24,T11,T2,T21
T18,T13,T2,T23,T17
T2,T11,T24,T6,T16
T16,T10,T11,T24,T15
T8,T19,T1,T3,T10
T4,T11,T17,T13,T5
T29,T16,T4,T9,T19
T20,T30,T8,T9,T22
T15,T2,T28,T20,T29
T27,T26,T28,T21,T5
T13,T10,T29,T16,T1
T2,T14,T16,T10,T3
T7,T18,T15,T13,T4
T26,T20,T19,T4,T25
T9,T23,T15,T5,T21
T29,T16,T13,T18,T11
T24,T3,T27,T9,T23
T28,T2,T21,T22,T30
T2,T5,T28,T1,T7
T6,T24,T13,T1,T18
T3,T27,T12,T4,T29
T16,T4,T10,T13,T25
T17,T15,T24,T23,T20
T10,T2,T24,T27,T29
T24,T5,T3,T26,T28
T28,T10,T29,T13,T5
T22,T24,T3,T2,T27
T13,T9,T15,T16,T10
T21,T6,T22,T17,T8
T9,T28,T24,T30,T7
T19,T24,T30,T21,T8
T13,T26,T7,T22,T17
T6,T17,T28,T16,T26
T4,T3,T27,T20,T18
T10,T11,T5,T17,T14
T2,T29,T25,T4,T5
T24,T11,T13,T18,T9
T21,T11,T16,T22,T5
T15,T7,T18,T4,T21
T24,T3,T25,T17,T13
T11,T1,T19,T12,T29
T9,T19,T16,T8,T27
T17,T30,T14,T9,T16
T15,T5,T13,T3,T19
T10,T18,T4,T26,T24
T18,T16,T4,T26,T29
T5,T14,T8,T24,T29
T9,T8,T12,T14,T6
T13,T16,T28,T12,T20
T6,T20,T5,T22,T4
T11,T21,T25,T14,T26
T13,T23,T7,T24,T15
T3,T23,T28,T4,T14
T11,T22,T5,T2,T16
T9,T19,T28,T4,T26
T9,T6,T28,T14,T15
T19,T22,T14,T10,T24
T21,T3,T29,T2,T25
T17,T23,T18,T13,T14
T23,T22,T4,T20,T5
T12,T2,T28,T17,T27
T4,T6,T5,T10,T22
T14,T17,T3,T15,T26
T18,T24,T8,T22,T12
T30,T19,T10,T15,T4
T22,T7,T10,T17,T12
T2,T20,T21,T11,T9
T20,T18,T15,T8,T19
T27,T19,T7,T4,T14
T9,T22,T3,T17,T11
T19,T11,T5,T16,T18
T20,T3,T16,T12,T2
T18,T4,T7,T23,T17
T8,T23,T28,T16,T5
T30,T21,T10,T26,T14
T16,T24,T17,T8,T21
T2,T20,T11,T7,T3
T26,T11,T5,T29,T25
T7,T17,T9,T19,T13
T7,T29,T23,T26,T4
T23,T27,T22,T30,T18
T6,T5,T7,T18,T12
T26,T1,T25,T17,T22
T21,T4,T28,T9,T24
T7,T23,T17,T26,T6
T30,T26,T7,T23,T2
T14,T20,T9,T1,T11
T19,T16,T6,T27,T12
T12,T25,T11,T17,T30
T4,T8,T22,T28,T5
T29,T8,T14,T9,T18
T9,T3,T17,T20,T6
T27,T1,T26,T3,T24
T12,T30,T3,T13,T17
T10,T26,T23,T6,T29
T2,T3,T18,T29,T28
T30,T29,T26,T18,T8
T9,T20,T18,T6,T12
T6,T18,T10,T20,T23
T2,T10,T25,T7,T20
T3,T2,T22,T21,T27
T7,T3,T26,T11,T14
T5,T23,T25,T12,T6
T9,T6,T22,T7,T23
T25,T18,T23,T22,T17
T5,T16,T17,T19,T2
T16,T29,T3,T2,T30
T24,T19,T30,T12,T2
T2,T26,T15,T3,T18
T29,T13,T2,T24,T9
T20,T24,T28,T11,T4
T12,T20,T21,T13,T19
T25,T23,T2,T24,T7
T14,T6,T26,T13,T25
T22,T26,T23,T5,T24
T23,T3,T19,T15,T28
T10,T21,T22,T16,T8
T17,T1,T3,T4,T8
T3,T11,T18,T23,T15
T17,T19,T23,T15,T5
T21,T30,T24,T4,T6
T22,T18,T27,T26,T15
T27,T24,T17,T2,T20
T16,T21,T12,T14,T27
T16,T4,T20,T9,T27
T23,T4,T7,T14,T5
T19,T10,T18,T9,T27
T16,T25,T5,T9,T29
T5,T14,T8,T28,T13
T3,T24,T16,T7,T6
T6,T14,T11,T22,T20
T11,T24,T8,T7,T12
T17,T16,T22,T27,T26
T15,T25,T17,T1,T22
T5,T28,T20,T19,T24
T16,T17,T4,T30,T20
T22,T5,T7,T2,T3
T12,T26,T10,T15,T11
T9,T7,T3,T16,T1
T13,T9,T16,T5,T1
T10,T1,T25,T22,T30
T28,T5,T26,T25,T6
T21,T10,T29,T12,T17
T10,T3,T25,T17,T8
T24,T22,T14,T17,T25
T16,T10,T30,T27,T22
T17,T16,T6,T19,T11
T29,T1,T21,T23,T10
T15,T16,T23,T6,T27
T24,T21,T19,T27,T16
T6,T1,T2,T21,T25
T14,T13,T15,T6,T12
T25,T29,T9,T1,T30
T22,T13,T26,T15,T11
T12,T10,T21,T29,T5
T3,T17,T18,T30,T1
T27,T13,T22,T16,T26
T11,T27,T28,T22,T4
T15,T26,T7,T10,T8
T4,T28,T2,T1,T22
T24,T7,T1,T20,T5
T14,T20,T16,T11,T3
T10,T18,T7,T25,T14
T11,T3,T25,T5,T30
T2,T7,T3,T28,T27
T17,T21,T28,T7,T18
T7,T14,T21,T19,T22
T23,T26,T2,T15,T1
T26,T1,T20,T19,T29
T30,T22,T29,T18,T6
T14,T25,T20,T10,T8
T20,T21,T18,T29,T3
T2,T18,T25,T19,T6
T16,T5,T21,T18,T1
T19,T13,T4,T22,T18
T27,T28,T11,T23,T20
T3,T1,T8,T18,T21
T22,T17,T9,T4,T21
T12,T11,T24,T19,T17
T27,T24,T30,T26,T21
T30,T26,T1,T29,T22
T20,T23,T19,T14,T12
T6,T4,T15,T3,T22
T19,T10,T8,T12,T17
T15,T14,T4,T2,T8
T14,T12,T28,T26,T24
T30,T1,T18,T10,T5
T15,T24,T5,T7,T27
T13,T23,T26,T9,T10
T23,T2,T19,T8,T7
T16,T22,T30,T12,T20
T7,T16,T18,T19,T20
T12,T26,T3,T5,T16
T6,T27,T18,T3,T10
T17,T24,T27,T29,T20
T5,T12,T1,T7,T27
T12,T14,T1,T6,T28
T17,T16,T8,T1,T29
T16,T29,T28,T13,T3
T16,T7,T10,T24,T25
T19,T17,T9,T5,T12
T30,T22,T9,T8,T6
T5,T28,T19,T24,T13
T20,T2,T25,T13,T27
T9,T25,T7,T20,T28
T26,T13,T3,T23,T9
T8,T15,T29,T19,T22
T21,T24,T19,T1,T7
T27,T15,T20,T4,T14
T28,T17,T4,T12,T7
T4,T30,T23,T6,T1
T3,T10,T27,T20,T4
T9,T6,T29,T28,T7
T25,T28,T6,T27,T10
T5,T13,T6,T30,T4
T21,T2,T15,T17,T5
T1,T24,T4,T13,T14
T4,T8,T27,T16,T23
T30,T10,T6,T4,T24
T4,T21,T25,T30,T3
T8,T2,T1,T23,T4
T24,T3,T8,T4,T21
T22,T18,T12,T11,T3
T11,T6,T8,T16,T28
T25,T7,T9,T27,T10
T17,T20,T10,T8,T22
T20,T15,T25,T21,T1
T5,T24,T11,T7,T25
T13,T26,T22,T19,T4
T16,T18,T2,T9,T4
T12,T8,T17,T15,T28
T29,T18,T13,T1,T26
T20,T4,T8,T25,T21
T18,T14,T20,T17,T5
T8,T5,T22,T14,T13
T1,T13,T3,T27,T15
T28,T20,T2,T29,T5
T17,T10,T16,T23,T21
T28,T15,T22,T3,T16
T18,T5,T29,T17,T19
T4,T23,T8,T25,T22
T13,T3,T7,T15,T6
T4,T19,T24,T26,T28
T3,T29,T12,T4,T30
T23,T22,T2,T19,T14
T27,T2,T8,T29,T12
T21,T3,T23,T1,T13
T3,T13,T30,T19,T6
T28,T18,T1,T27,T17
T14,T24,T5,T18,T29
T12,T22,T18,T6,T10
T2,T27,T7,T13,T8
T1,T13,T17,T12,T5
T23,T25,T9,T30,T28
T2,T10,T15,T23,T26
T2,T20,T9,T5,T26
T15,T25,T30,T14,T16
T30,T28,T15,T10,T6
T13,T28,T21,T4,T11
T23,T10,T17,T3,T28
T21,T17,T10,T9,T30
T9,T26,T8,T17,T28
T18,T11,T25,T28,T4
T22,T7,T10,T17,T8
T25,T29,T30,T24,T11
T29,T9,T2,T7,T4
T4,T8,T1,T10,T13
T26,T14,T18,T19,T28
T9,T10,T4,T12,T11
T6,T4,T12,T23,T20
T3,T30,T11,T4,T12
T28,T8,T30,T15,T10
T11,T16,T8,T27,T19
T14,T11,T19,T1,T15
T10,T20,T28,T21,T3
T26,T11,T1,T15,T22
T19,T6,T17,T9,T10
T4,T18,T23,T21,T5
T20,T13,T18,T25,T15
T5,T22,T14,T20,T13
T23,T16,T5,T9,T4
T10,T23,T27,T21,T16
T29,T21,T6,T12,T4
T29,T22,T3,T11,T4
T15,T30,T14,T13,T29
T11,T29,T3,T24,T6
T7,T16,T26,T8,T19
T7,T15,T8,T25,T16
T16,T11,T12,T4,T21
T9,T28,T25,T26,T20
T8,T29,T7,T25,T11
T28,T30,T23,T2,T26
T13,T11,T8,T25,T22
T7,T21,T23,T30,T13
T14,T5,T3,T8,T30
T1,T24,T26,T11,T17
T30,T23,T27,T22,T15
T24,T16,T2,T6,T30
T27,T10,T12,T5,T6
T22,T16,T1,T5,T25
T4,T17,T2,T9,T25
T10,T18,T28,T3,T14
T26,T16,T30,T29,T10
T2,T10,T13,T12,T26
T27,T15,T25,T6,T29
T16,T22,T7,T28,T8
T19,T23,T8,T22,T14
T13,T18,T23,T5,T28
T2,T26,T11,T6,T19
T1,T30,T11,T18,T23
T5,T10,T1,T30,T19
T29,T2,T24,T26,T20
T6,T2,T22,T8,T20
T2,T12,T26,T4,T30
T12,T27,T21,T30,T9
T11,T23,T27,T21,T10
T23,T2,T4,T25,T15
T24,T15,T23,T12,T25
T6,T22,T9,T11,T25
T14,T13,T30,T10,T22
T3,T13,T11,T7,T15
T16,T28,T14,T26,T30
T23,T29,T30,T22,T3
T29,T8,T4,T1,T16
T24,T13,T20,T2,T14
T17,T30,T3,T21,T20
T10,T25,T15,T20,T12
T29,T7,T28,T15,T5
T29,T7,T28,T23,T12
T30,T23,T12,T26,T16
T3,T11,T4,T13,T10
T9,T29,T6,T18,T5
T19,T27,T29,T1,T24
T10,T4,T6,T8,T26
T10,T18,T25,T15,T11
T30,T1,T8,T29,T11
T25,T17,T11,T19,T27
T6,T8,T26,T17,T2
T26,T4,T8,T25,T29
T28,T7,T30,T6,T21
T14,T11,T3,T24,T4
T21,T19,T6,T13,T5
T10,T26,T25,T19,T18
T21,T2,T28,T19,T22
T24,T8,T23,T10,T27
T6,T27,T16,T15,T4
T20,T28,T18,T12,T25
T24,T18,T20,T9,T3
T15,T18,T19,T28,T30
T22,T14,T11,T19,T2
T29,T3,T18,T9,T22
T15,T8,T5,T2,T3
T28,T1,T21,T18,T11
T5,T18,T12,T25,T30
T16,T15,T17,T6,T25
T19,T4,T5,T13,T22
T8,T15,T11,T12,T2
T16,T13,T20,T21,T25
T20,T15,T11,T23,T27
T12,T19,T5,T23,T3
T22,T16,T4,T23,T29
T7,T17,T30,T16,T3
T18,T20,T10,T27,T13
T7,T12,T29,T17,T5
T9,T17,T14,T2,T27
T30,T9,T27,T4,T18
T11,T5,T1,T3,T20
T5,T9,T26,T7,T14
T27,T28,T9,T8,T18
T19,T30,T26,T3,T10
T20,T26,T14,T16,T12
T25,T30,T18,T24,T19
T15,T17,T29,T30,T8
T10,T9,T3,T21,T16
T16,T24,T22,T29,T23
T27,T3,T26,T15,T22
T23,T20,T29,T19,T26
T8,T21,T14,T7,T12
T2,T1,T11,T19,T9
T3,T27,T25,T7,T12
T24,T23,T8,T18,T5
T5,T17,T15,T26,T29
T8,T2,T28,T13,T19
T22,T28,T25,T9,T3
T27,T9,T10,T15,T7
T12,T3,T10,T2,T8
T14,T12,T3,T29,T9
T6,T20,T13,T7,T17
T8,T10,T28,T12,T30
T14,T6,T24,T15,T5
T19,T17,T20,T4,T21
T27,T2,T4,T18,T17
T30,T24,T15,T3,T25
T6,T17,T20,T5,T25
T25,T21,T18,T2,T13
T3,T9,T16,T15,T11
T10,T2,T11,T29,T6
T30,T1,T24,T5,T8
T28,T4,T27,T22,T6
T9,T22,T29,T24,T27
T3,T1,T6,T8,T14
T20,T30,T1,T22,T13
T21,T30,T20,T7,T13
T18,T13,T28,T12,T10
T24,T20,T22,T28,T21
T21,T16,T11,T14,T27
T9,T20,T14,T23,T27
T19,T25,T27,T18,T17
T5,T20,T4,T22,T12
T30,T26,T4,T1,T6
T29,T3,T20,T8,T19
T21,T23,T12,T24,T20
T28,T19,T8,T6,T25
T6,T4,T17,T14,T11
T27,T25,T2,T23,T8
T12,T9,T13,T11,T22
T14,T25,T16,T6,T1
T27,T28,T22,T20,T17
T19,T7,T12,T3,T21
T21,T10,T11,T20,T29
T14,T22,T26,T29,T21
T12,T3,T13,T24,T5
T12,T8,T16,T18,T14
T4,T27,T19,T24,T7
T30,T2,T24,T3,T8
T8,T20,T3,T14,T30
T20,T10,T17,T4,T29
T22,T17,T27,T14,T3
T29,T25,T19,T23,T27
T28,T6,T19,T14,T21
T10,T6,T2,T29,T4
T22,T19,T5,T1,T18
T20,T4,T30,T25,T8
T11,T22,T1,T16,T18
T14,T27,T1,T4,T2
T17,T4,T9,T1,T28
T2,T14,T22,T23,T13
T7,T11,T29,T13,T30
T11,T20,T2,T13,T21
T29,T13,T21,T25,T27
T8,T10,T17,T1,T20
T17,T18,T9,T16,T24
T20,T25,T29,T19,T15
T4,T29,T7,T28,T15
T16,T29,T20,T23,T13
T29,T28,T20,T16,T17
T20,T17,T5,T6,T30
T26,T22,T16,T13,T20
T24,T19,T23,T17,T12
T11,T18,T27,T5,T21
T12,T8,T26,T7,T9
T21,T30,T28,T23,T12
T11,T24,T29,T6,T28
T11,T27,T13,T29,T15
T20,T21,T11,T16,T29
T5,T20,T4,T27,T15
T12,T3,T1,T4,T18
T23,T19,T5,T11,T6
T17,T1,T16,T28,T24
T18,T6,T16,T23,T2
T15,T22,T1,T6,T18
T7,T11,T8,T2,T6
T24,T22,T10,T7,T21
T1,T4,T15,T13,T6
T10,T2,T4,T18,T24
T2,T14,T16,T17,T18
T30,T26,T9,T15,T21
T7,T25,T16,T10,T18
T17,T19,T7,T4,T3
T19,T18,T11,T10,T3
T16,T23,T3,T17,T19
T11,T27,T3,T6,T23
T11,T20,T18,T26,T8
T1,T14,T4,T10,T24
T19,T4,T26,T27,T14
T6,T20,T9,T3,T13
T5,T30,T16,T1,T9
T28,T15,T14,T30,T27
T16,T17,T30,T2,T15
T22,T10,T6,T23,T7
T26,T1,T19,T29,T23
T5,T15,T26,T9,T3
T24,T30,T16,T15,T29
T14,T26,T8,T27,T9
T20,T18,T12,T15,T19
T1,T12,T9,T11,T2
T25,T22,T20,T14,T24
T12,T7,T6,T2,T1
T12,T7,T3,T6,T13
T2,T21,T19,T11,T9
T5,T15,T9,T16,T23
T26,T27,T11,T15,T30
T27,T14,T11,T18,T26
T30,T14,T18,T4,T1
T1,T9,T7,T30,T28
T5,T4,T15,T7,T20
T15,T1,T19,T25,T12
T13,T24,T28,T4,T29
T8,T28,T30,T19,T4
T22,T1,T10,T3,T7
T5,T17,T25,T8,T10
T24,T27,T22,T20,T30
T29,T6,T14,T19,T13
T16,T13,T22,T9,T8
T4,T7,T13,T1,T9
T14,T17,T5,T26,T3
T14,T19,T10,T30,T15
T9,T24,T26,T18,T10
T7,T26,T25,T14,T16
T9,T13,T2,T3,T4
T8,T10,T7,T15,T4
T18,T20,T13,T21,T17
T21,T17,T23,T19,T29
T10,T2,T13,T26,T21
T10,T23,T2,T13,T17
T24,T29,T20,T17,T15
T22,T12,T3,T1,T2
T18,T7,T2,T9,T29
T12,T15,T6,T16,T1
T24,T15,T6,T14,T10
T2,T29,T10,T14,T5
T16,T20,T2,T28,T27
T17,T15,T24,T29,T9
T22,T9,T2,T10,T28
T10,T1,T28,T20,T5
T11,T20,T26,T22,T10
T21,T10,T7,T24,T18
T26,T4,T3,T13,T24
T14,T1,T21,T20,T9
T27,T20,T1,T18,T28
T21,T16,T5,T14,T23
T15,T8,T28,T4,T21
T21,T19,T3,T29,T8
T11,T12,T26,T29,T30
T7,T22,T6,T28,T26
T17,T30,T7,T11,T12
T16,T9,T26,T5,T18
T2,T15,T19,T24,T28
T16,T21,T26,T1,T25
T7,T5,T29,T10,T22
T1,T10,T17,T23,T9
T9,T25,T15,T21,T19
T6,T17,T16,T11,T20
T24,T25,T9,T19,T27
T21,T29,T27,T5,T13
T22,T25,T16,T2,T19
T25,T11,T9,T18,T8
T23,T29,T28,T13,T24
T1,T8,T20,T23,T14
T21,T18,T15,T1,T26
T12,T24,T6,T19,T26
T9,T4,T3,T8,T11
T21,T9,T20,T15,T24
T4,T5,T30,T14,T12
T21,T29,T19,T9,T7
T8,T2,T13,T7,T23
T21,T19,T4,T2,T8
T16,T8,T5,T24,T25
T7,T27,T21,T28,T18
T18,T12,T21,T22,T15
T4,T2,T15,T16,T12
T26,T24,T21,T30,T1
T7,T20,T30,T17,T3
T16,T3,T18,T28,T22
T21,T6,T24,T3,T13
T12,T9,T24,T18,T2
T9,T1,T4,T23,T28
T1,T10,T6,T12,T15
T23,T25,T12,T19,T18
T15,T6,T30,T29,T23
T5,T6,T21,T16,T19
T2,T17,T10,T21,T7
T5,T22,T18,T19,T27
T14,T23,T20,T3,T19
T24,T28,T23,T25,T10
T19,T14,T3,T29,T22
T12,T5,T11,T28,T20
T6,T28,T27,T20,T1
T21,T15,T10,T26,T5
T23,T10,T5,T17,T13
T16,T13,T7,T29,T15
T7,T19,T22,T2,T15
T6,T15,T17,T18,T7
T16,T1,T30,T19,T21
T8,T9,T26,T18,T28
T25,T21,T28,T12,T15
T4,T11,T10,T20,T7
T13,T30,T25,T2,T15
T16,T1,T29,T15,T3
T2,T12,T1,T26,T14
T15,T2,T1,T20,T6
T10,T1,T28,T11,T30
T8,T3,T5,T9,T15
T1,T14,T15,T2,T21
T21,T16,T2,T1,T28
T15,T13,T4,T1,T16
T19,T21,T6,T4,T22
T7,T6,T5,T16,T27
T7,T1,T5,T3,T19
T3,T6,T29,T23,T20
T27,T2,T1,T25,T4
T30,T9,T15,T27,T12
T28,T17,T30,T25,T13
T5,T7,T17,T8,T18
T8,T5,T26,T15,T29
T20,T21,T15,T25,T3
T17,T22,T9,T25,T29
T16,T11,T13,T2,T17
T27,T13,T1,T17,T22
T21,T3,T14,T27,T25
T9,T29,T14,T21,T6
T28,T12,T22,T20,T26
T17,T4,T14,T29,T18
T20,T8,T9,T26,T13
T22,T17,T12,T2,T26
T4,T11,T22,T15,T24
T17,T24,T2,T28,T10
T21,T10,T9,T13,T14
T1,T3,T23,T11,T17
T29,T11,T1,T27,T22
T15,T21,T22,T17,T23
T4,T30,T18,T25,T9
T25,T18,T15,T29,T8
T22,T9,T14,T23,T12
T7,T10,T16,T19,T26
T13,T11,T8,T23,T9
T29,T21,T8,T22,T6
T16,T12,T28,T25,T22
T29,T4,T5,T27,T17
T28,T26,T3,T25,T29
T6,T28,T17,T29,T25
T1,T26,T25,T12,T23
T19,T2,T28,T16,T12
T1,T27,T7,T21,T15
T28,T26,T23,T11,T17
T14,T30,T10,T9,T5
T26,T3,T30,T21,T17
T8,T6,T18,T5,T14
T21,T11,T7,T5,T25
T28,T14,T18,T9,T15
T6,T18,T24,T3,T14
T12,T26,T2,T4,T5
T25,T29,T5,T10,T14
T30,T3,T29,T22,T2
T12,T8,T7,T5,T3
T23,T2,T27,T17,T14
T15,T30,T5,T23,T20
T25,T16,T9,T10,T30
T19,T7,T1,T20,T26
T19,T8,T16,T28,T14
T30,T11,T6,T2,T5
T6,T24,T17,T26,T18
T16,T4,T2,T30,T6
T7,T1,T6,T18,T27
T15,T8,T24,T27,T16
T1,T28,T11,T8,T3
T30,T17,T18,T13,T19
T27,T1,T10,T11,T12
T19,T4,T30,T13,T28
T25,T12,T2,T27,T1
T6,T19,T25,T20,T26
T4,T5,T10,T2,T26
T9,T19,T6,T10,T13
T15,T26,T17,T4,T9
T21,T27,T14,T1,T18
T26,T30,T27,T7,T9
T12,T29,T18,T20,T23
T30,T16,T18,T20,T10
T21,T16,T15,T28,T14
T25,T22,T6,T24,T26
T13,T2,T21,T12,T27
T16,T22,T10,T7,T29
T12,T28,T17,T14,T27
T7,T13,T3,T14,T16
T30,T19,T6,T20,T27
T19,T25,T11,T14,T24
T20,T12,T27,T29,T10
T19,T12,T22,T15,T9
T2,T25,T1,T22,T7
T2,T6,T3,T18,T23
T10,T8,T21,T12,T16
T14,T25,T13,T3,T20
T23,T6,T27,T30,T8
T26,T2,T6,T14,T13
T27,T5,T8,T24,T22
T30,T29,T1,T8,T27
T7,T18,T1,T23,T16
T3,T22,T5,T21,T10
T27,T11,T9,T5,T28
T22,T29,T1,T12,T14
T18,T26,T22,T20,T7
T29,T14,T7,T21,T23
T21,T27,T28,T3,T26
T4,T29,T28,T10,T14
T17,T8,T13,T6,T9
T24,T22,T1,T10,T28
T2,T16,T30,T14,T18
T11,T9,T6,T23,T25
T20,T16,T23,T8,T11
T12,T27,T10,T16,T6
T20,T24,T13,T8,T30
T8,T22,T15,T23,T1
T23,T8,T6,T19,T21
T4,T24,T6,T17,T21
T23,T25,T11,T14,T4
T5,T19,T30,T18,T27
T7,T17,T28,T29,T11
T11,T7,T8,T19,T4
T25,T22,T9,T7,T12
T12,T21,T23,T13,T11
T29,T12,T19,T9,T6
T8,T12,T15,T14,T22
T19,T13,T1,T8,T23
T11,T28,T23,T29,T14
T26,T23,T16,T12,T4
T5,T30,T2,T27,T17
T18,T21,T13,T12,T22
T30,T28,T2,T11,T18
T30,T18,T26,T13,T8
T25,T19,T24,T13,T12
T14,T11,T2,T7,T30
T20,T10,T26,T2,T23
T15,T7,T13,T28,T27
T24,T25,T27,T1,T5
T24,T11,T26,T16,T4
T18,T6,T2,T29,T21
T6,T26,T30,T21,T20
T1,T6,T23,T25,T3
T27,T5,T13,T11,T19
T16,T28,T7,T3,T19
T11,T30,T13,T19,T15
T13,T22,T23,T24,T9
T8,T5,T18,T21,T13
T14,T6,T7,T21,T25
T7,T22,T11,T6,T30
T24,T9,T7,T29,T11
T26,T8,T12,T13,T27
T29,T2,T22,T6,T9
T25,T17,T14,T28,T2
T14,T5,T24,T30,T25
T4,T12,T15,T8,T25
T1,T9,T14,T17,T6
T19,T20,T3,T15,T10
T14,T30,T7,T12,T20
T4,T13,T25,T18,T16
T17,T8,T6,T13,T28
T30,T7,T20,T14,T22
T26,T9,T20,T8,T24
T21,T12,T23,T18,T29
T11,T25,T23,T18,T8
T13,T28,T25,T2,T3
T23,T16,T9,T10,T19
T1,T9,T10,T19,T3
T9,T2,T24,T19,T10
T26,T3,T19,T16,T7
T24,T12,T4,T9,T5
T27,T9,T12,T16,T13
T7,T15,T14,T9,T2
T11,T17,T4,T22,T18
T12,T10,T19,T4,T25
T25,T9,T21,T24,T22
T12,T18,T16,T3,T28
T12,T29,T7,T15,T24
T13,T11,T9,T26,T12
T6,T23,T7,T14,T18
T6,T8,T18,T3,T2
T27,T8,T6,T20,T7
T12,T24,T1,T9,T17
T23,T27,T7,T26,T25
T7,T8,T5,T1,T20
T15,T10,T12,T22,T17
T9,T20,T26,T2,T5
T11,T10,T15,T14,T28
T3,T30,T25,T27,T5
T21,T28,T9,T14,T23
T11,T19,T17,T13,T30
T27,T9,T10,T6,T5
T7,T13,T24,T18,T14
T12,T29,T27,T8,T14
T28,T13,T26,T1,T25
T17,T25,T3,T27,T26
T11,T2,T24,T5,T23
T5,T1,T27,T19,T29
T21,T6,T28,T26,T8
T26,T18,T12,T14,T24
T9,T21,T11,T5,T15
T27,T30,T7,T29,T23
T17,T21,T29,T11,T15
T10,T27,T29,T6,T13
T7,T11,T19,T30,T23
T25,T19,T4,T26,T7
T20,T4,T18,T7,T16
T25,T23,T9,T3,T8
T22,T21,T24,T13,T12
T23,T9,T1,T30,T20
T3,T27,T8,T24,T10
T18,T30,T12,T8,T29
T10,T3,T5,T23,T28
T24,T26,T3,T29,T17
T28,T7,T13,T8,T27
T21,T23,T26,T5,T2
T21,T25,T6,T9,T3
