Mark.Center_Seminary.Rd,Janneys.Ln_Seminary.Rd,Janneys.Ln_King.St.Metro,Braddock.Metro_Russell.Rd,Glebe.Rd_Russell.Rd,Glebe.Rd_Pentagon.Metro,Braddock.Metro_Cameron.Mills.Dr,Cameron.Mills.Dr_Parkfairfax,Parkfairfax_Pentagon.Metro,Van.Dorn.Metro_Whiting.St,Duke.St_Whiting.St,Duke.St_King.St.Metro,King.St.Metro_Old.Town.Circulator,Braddock.Metro_Old.Town.Circulator,King.St.Metro_NVCC,Landmark_Van.Dorn.Metro,Eisenhower_Van.Dorn.Metro,Eisenhower_King.St.Metro,Commonwealth.Ave_King.St.Metro,Commonwealth.Ave_Mt.Vernon.Ave,Mt.Vernon.Ave_Potomac.Yard.Ctr,Lee.Center_Potomac.Yard.Ctr,Van.Dorn.Metro_Yoakum.Pkwy,Beauregard.St_Yoakum.Pkwy,Beauregard.St_Pentagon.Metro,Mark.Center_Menokin.Dr,Menokin.Dr_Shirlington,Glebe.Rd_Shirlington,Glebe.Rd_Potomac.Yd.Ctr,Mark.Center_Park.Place,Park.Place_Shirlington,Temperature,Bus.Size,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,1,412.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,331.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,337.5
0,0,0,0,0,0,0,0,0,1,1,1,5,5,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,212.496
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,141.664
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,336.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,341.8
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,95.064
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,296.376
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,407.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,276.9
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,1,245.6
0,0,0,0,0,0,0,0,0,3,3,3,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,322.472
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,2,2,2,2,-1,-1,126.752
0,0,0,0,0,0,0,0,0,3,3,3,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,332.3
0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,533.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,353
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,-1,225.544
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,150.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,338
0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,2,2,2,0,0,0,0,2,2,2,0,0,0,0,0,0,-1,-1,240.456
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,1,1,328.2
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,1,525.9
0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,145.5
0,0,0,0,0,0,2,2,2,2,2,2,3,3,1,0,0,0,3,3,3,2,0,0,0,0,0,0,0,0,0,-1,-1,318.744
0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,543.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,297.4
0,0,0,0,0,0,0,0,0,2,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,244.184
0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,210.632
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,347.2
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,194.7
0,0,0,4,4,4,0,0,0,3,3,3,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,363.48
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,339.248
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,228.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,261.4
0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,1,140.4
0,0,0,0,0,0,0,0,0,3,3,3,6,6,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,1,354.8
0,0,0,0,0,0,0,0,0,5,5,5,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,253.504
0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,-1,439.904
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,358.9
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,585.3
0,0,0,2,2,2,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,-1,-1,410.08
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,191.992
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,395
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,438.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,347.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,287.056
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,-1,-1,385.848
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,331.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,-1,1,297.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,304.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,4,4,4,0,0,0,0,0,0,-1,-1,309.424
0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,214.36
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,1,194
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,124.9
0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,510
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,-1,449.224
0,0,0,0,0,0,0,0,0,7,7,7,11,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,389.576
0,0,0,0,0,0,0,0,0,1,1,1,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,217.6
0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,-1,-1,270.28
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,2,2,2,1,0,0,0,0,0,2,2,2,2,-1,-1,294.512
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,354.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,330.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,299.7
0,0,0,7,7,7,0,0,0,3,3,3,4,4,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,279.6
0,0,0,0,0,0,2,2,2,2,2,2,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,180.808
0,0,0,0,0,0,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,300.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,349.8
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,535.2
0,0,0,4,4,4,0,0,0,3,3,3,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,247.912
0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,180.808
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,1,1,403.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,1,1,302.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,186
0,0,0,0,0,0,0,0,0,2,2,2,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,231.136
0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,5,5,5,1,1,1,1,0,0,1,-1,259.096
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,6,6,6,3,3,3,3,0,0,1,1,317.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,1,1,216.9
0,0,0,0,0,0,0,0,0,4,4,4,7,7,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,217.2
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,5,5,5,2,2,2,2,0,0,-1,-1,503.28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,233
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,591.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,331.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,330.6
0,0,0,4,4,4,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,309.424
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,2,2,2,1,3,3,3,0,0,5,5,5,5,-1,-1,395.168
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,347.2
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,587.3
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,1,561.1
0,0,0,0,0,0,0,0,0,3,3,3,7,7,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,253.504
0,0,0,0,0,0,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,322.472
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,-1,1,421.5
0,0,0,0,0,0,0,0,0,1,1,1,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,409.2
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,547.6
0,0,0,4,4,4,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,288.92
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,259.096
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,337.1
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,480.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,382
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,3,3,0,0,0,0,2,2,2,0,0,0,0,0,0,-1,-1,203.176
0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,2,2,2,3,0,0,0,0,0,2,2,2,2,-1,-1,244.184
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,297.4
0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,280.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,290.3
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,305.696
0,0,0,0,0,0,1,1,1,2,2,2,6,6,4,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,447.36
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,592.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,289.3
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,156.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,364.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,294.7
0,0,0,0,0,0,0,0,0,3,3,3,8,8,5,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,-1,1,439
0,0,0,7,7,7,0,0,0,4,4,4,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,309.424
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,-1,223.68
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,305.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,335.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,358.8
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,257.232
0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,-1,-1,432.448
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,312
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,485.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,331.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,1,-1,205.04
0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,0,0,2,2,2,2,1,-1,188.264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,310.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,391.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,247
0,0,0,0,0,0,0,0,0,1,1,1,6,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,244.184
0,0,0,4,4,4,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,309.424
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,-1,1,529.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,298.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,305.2
0,0,0,2,2,2,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,5,5,5,2,2,2,2,0,0,-1,-1,460.408
0,0,0,0,0,0,4,4,4,2,2,2,3,3,1,0,0,0,2,2,2,1,0,0,0,0,0,1,1,1,1,-1,-1,318.744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,446.2
0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,561.9
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,-1,1,642.8
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,1,620.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,311.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,507.1
0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,2,1,1,1,1,0,0,0,1,1,1,1,0,0,-1,-1,277.736
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,0,0,2,2,2,1,0,0,0,0,0,5,5,5,5,-1,-1,290.784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,327.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,354.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,347.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,274.9
0,0,0,0,0,0,0,0,0,2,2,2,5,5,3,2,2,2,2,2,2,3,0,0,0,0,0,2,2,2,2,-1,-1,369.072
0,0,0,7,7,7,0,0,0,2,2,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,197.584
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,1,573.1
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,-1,1,600.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,294.7
0,0,0,4,4,4,0,0,0,2,2,2,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,266.552
0,0,0,0,0,0,0,0,0,1,1,1,3,3,2,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,328.064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,391.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,-1,1,521.3
0,0,0,0,0,0,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,658.1
